annotation_name,uniq_urls_seen
dns_isp_id_sehat_telkom_uzone,35
nat_id_trustpositif_forward_2,24
nat_id_trustpositif_block_3,24
dns_isp_id_sehat_tri_ip,24
dns_isp_id_sehat_xl_block,24
dns_isp_id_sehat_tri_blockpage,23
dns_isp_id_sehat_telkom_bltsel_cname,23
dns_isp_id_sehat_netsafeindosat_2,22
nat_id_trustpositif_block_1,22
dns_isp_id_sehat_smartfren,22
dns_isp_id_sehat_telkom_bltsel_ip,22
dns_isp_id_sehat_firstmedia,22
dns_isp_id_sehat_telkomsel_baik,20
dns_br_1234,20
dns_isp_id_sehat_first,19
dns_isp_id_sehat_biznet,18
dns_nat_id_trustpositif,18
dns_isp_id_sehat_netsafeindosat_1,18
isp_id_tri_forward,17
dns_isp_id_sehat_tri_cname,17
isp_id_telkomsel_forward,16
dns_isp_id_sehat_mncplay,16
isp_id_telkomsel_block_baik_2,16
isp_id_fastnet_sehat_blockpage_1,16
isp_id_biznet_block,15
isp_id_tri_block,15
dns_isp_id_sehat_citra,15
dns_isp_id_sehat_telkom_uzone_mercusuar,15
isp_id_xl_block_2,15
isp_id_fastnet_sehat_blockpage_2,15
isp_id_starnet_sehat_blockpage,15
isp_id_indosatooredo_block_2,14
isp_id_indosatooredo_forward2,14
isp_id_indosatooredo_block_js_variant,14
nat_id_trustpositif_forward_3,14
isp_id_mncplay_sehat_blockpage,14
isp_id_indosatooredo_block_1,14
isp_id_jlm_negatifkonten_blockpage,14
nat_id_trustpositif_block_6,14
isp_id_xl_block,14
isp_id_citranet_sehat_forward,13
isp_id_citranet_sehat_block_2017,13
nat_id_trustpositif_forward,13
dns_isp_id_sehat_starnet_dark,13
isp_id_indosatooredo_forward1,13
isp_id_telkomsel_block_baik_1,13
nat_id_trustpositif_block_2,12
dns_isp_id_sehat_starnet_light,11
dns_isp_id_sehat_jlm_negatif,11
isp_id_myrepublic_forward,10
dns_isp_id_sehat_gmedia_ip,10
dns_isp_id_sehat_gmedia_cname,9
nat_id_trustpositif_block_4,9
isp_id_xl_forward,9
isp_id_myrepublic_block,8
dns_isp_id_sehat_myrepublic,8
isp_id_gmedia_xblock_blockpage,8
dns_isp_id_sehat_cbn_block,7
isp_id_cbn_sehat_blockpage,7
dns_isp_id_sehat_myrepublic_block,5
dns_isp_id_comnets,4
dns_isp_id_sehat_bolt_block,4
isp_id_bolt_sehat_blockpage,3
dns_isp_id_sehat_melsa,3
dns_isp_id_sehat_varnion_2,3
dns_isp_id_sehat_ptcentrin,3
dns_isp_id_sehat_idnic_1,2
dns_isp_id_sehat_crypto_negatif,2
dns_isp_id_sehat_idnic_2,2
dns_isp_id_sehat_hypernet_1,2
isp_id_velo_block,2
nat_id_idnic_block,2
dns_isp_id_sehat_varnion_1,2
dns_isp_id_sehat_varnion_3,2
dns_isp_id_sehat_lintasarta,1
dns_isp_id_sehat_argon,1
isp_id_argon_block,1
prod_untangle_forward,1
prod_nawala,1
dns_isp_id_sehat_iforte,1
prod_untangle_block,1
nat_id_trustpositif_block_5,1
isp_id_lintasarta_block,1
dns_prod_id_nawala,1
