annotation_name,uniq_urls_seen
isp_ru_mgts_rkn_forward_4,13
isp_ru_rostelcom_block_forward,7
dns_prod_skydns_1,7
isp_ru_yota_forward,6
isp_ru_yota_block_2,6
isp_ru_tele2_block,6
isp_ru_mts_block,6
isp_ru_megafon_forward,6
isp_ru_megafon_block_tag,6
isp_ru_ertelecom_rkn_forward,6
isp_ru_ertelecom_rkn_blockpage,6
isp_ru_beeline_blackhole_forward,5
isp_ru_beeline_blackhole_blockpage,5
dns_isp_ru_rkn_ertelecom,5
isp_ru_rostelcom_warning_forward,4
isp_ru_rostelcom_warning_block_1,4
isp_ru_netbynet_block,4
isp_ru_mts_forward,4
isp_ru_mgts_rkn_forward_1,4
isp_ru_mgts_rkn_blockpage_1,4
isp_ru_megamax_rkn_block,4
isp_ru_megafon_block_with_ad,4
isp_ru_convex_rkn_foward,4
dns_isp_ru_rkn_skynet,4
isp_ru_westcall_forward_1,3
isp_ru_ttk_fz139_forward,3
isp_ru_ttk_block,3
isp_ru_tele2_forward_1,3
isp_ru_netbynet_forward_1,3
isp_ru_megamax_rkn_forward_1,3
isp_ru_almatel_block,3
isp_ru_2kom_forward,3
isp_ru_2kom_block,3
prod_vasexperts_forward,2
prod_vasexperts_blockpage_2,2
isp_ru_yaltanet_forward,2
isp_ru_yaltanet_block,2
isp_ru_wiland_forward,2
isp_ru_westcall_forward_2,2
isp_ru_westcall_block,2
isp_ru_virginconnect_forward,2
isp_ru_ugmktelecom_block,2
isp_ru_ufanet_forward_ipvariant,2
isp_ru_ufanet_forward,2
isp_ru_ufanet_block,2
isp_ru_tele2_forward_2,2
isp_ru_sibset_149_blockpage,2
isp_ru_rostelecom_blocksystem,2
isp_ru_relline_forward,2
isp_ru_relline_block,2
isp_ru_rascom_forward,2
isp_ru_rascom_block,2
isp_ru_profintel_forward,2
isp_ru_obit_forward,2
isp_ru_obit_block,2
isp_ru_nevalink_forward,2
isp_ru_naukanet_block,2
isp_ru_miranda_forward,2
isp_ru_miranda_block,2
isp_ru_mgts_rkn_forward_3,2
isp_ru_mgts_rkn_forward_2,2
isp_ru_mgts_rkn_blockpage_2,2
isp_ru_megafon_block,2
isp_ru_maximatelecom_forward,2
isp_ru_ktelecom_forward,2
isp_ru_ktelecom_block,2
isp_ru_kmtn_forward,2
isp_ru_kaspnet_forward,2
isp_ru_kaspnet_block,2
isp_ru_intersvas_forward,2
isp_ru_intersvas_block,2
isp_ru_dialog_forward,2
isp_ru_comfortel_forward,2
isp_ru_almatel_forward,2
isp_ru_akado_forward,2
isp_ru_akado_block_2,2
isp_ru_akado_block_1,2
dns_isp_ru_rkn_mastertel,2
dns_isp_rostelecom_blocksystem,2
prod_comodo_securedns_warning,1
prod_comodo_securedns_forward,1
isp_ru_yota_block_1,1
isp_ru_ugmktelecom_forward,1
isp_ru_ucanet_block,1
isp_ru_tscrimea_forward,1
isp_ru_tinkoff_forward,1
isp_ru_tinkoff_block,1
isp_ru_telincom_forward,1
isp_ru_telincom_block,1
isp_ru_teleseti_forward,1
isp_ru_teleseti_block,1
isp_ru_tcentr_forward,1
isp_ru_tcentr_block,1
isp_ru_svyazist_forward,1
isp_ru_svyazenergo_forward,1
isp_ru_svyazenergo_block,1
isp_ru_strela_block,1
isp_ru_stacktelecom_forward,1
isp_ru_sovatelecom_forward,1
isp_ru_sovatelecom_block,1
isp_ru_sochionline_forward,1
isp_ru_sochionline_block,1
isp_ru_skynetkazan_forward,1
isp_ru_sibset_149_forward,1
isp_ru_rostelecom_ipcenter,1
isp_ru_rinet_forward,1
isp_ru_rinet_block,1
isp_ru_rialink_forward,1
isp_ru_rialink_block,1
isp_ru_primelink_forward,1
isp_ru_postltd_forward,1
isp_ru_postltd_block,1
isp_ru_podryad_forward,1
isp_ru_podryad_block,1
isp_ru_planeta_forward,1
isp_ru_planeta_block,1
isp_ru_pakt_forward,1
isp_ru_pakt_block,1
isp_ru_orionnet_forward,1
isp_ru_orionnet_block,1
isp_ru_novotelecom_forward,1
isp_ru_netbynet_forward_2,1
isp_ru_naukanet_forward,1
isp_ru_mipt_block,1
isp_ru_megion_forward,1
isp_ru_megamax_rkn_forward_2,1
isp_ru_linkregion_forward,1
isp_ru_linkregion_block,1
isp_ru_lantanet_forward,1
isp_ru_lantanet_block,1
isp_ru_infolink_forward,1
isp_ru_formulasvyaz_forward,1
isp_ru_feonet_forward,1
isp_ru_elight_forward,1
isp_ru_elight_block,1
isp_ru_ecotelecom_forward,1
isp_ru_ecotelecom_block,1
isp_ru_crelcom_forward,1
isp_ru_convex_intersat_forward,1
isp_ru_convex_intersat_block,1
isp_ru_cityline_block,1
isp_ru_avantel_forward,1
isp_ru_avantel_block,1
isp_ru_alliancetelecom_forward,1
isp_ru_akado_block_3,1
dns_isp_ru_rkn_zencom,1
dns_isp_ru_rkn_naukanet,1
dns_isp_ru_rkn_enforta,1
