as_num,uniq_urls_seen
AS31549,71
AS56402,68
AS44244,64
AS12880,61
AS50810,59
AS197207,59
AS16322,58
AS61173,56
AS58224,56
AS57474,46
AS15696,46
AS25184,45
AS57218,41
AS43754,41
AS48434,39
AS0,37
AS42337,35
AS206065,31
AS58085,23
AS48159,23
AS49100,19
AS39501,18
AS201150,13
AS25124,12
AS39308,11
AS59587,10
AS41881,10
AS48944,7
AS51074,6
AS44285,6
AS21341,6
AS48359,5
AS64413,4
AS51469,4
AS47558,4
AS59628,3
AS59573,3
AS58256,3
AS56765,3
AS51828,3
AS50892,3
AS49103,3
AS47796,3
AS41856,3
AS39074,3
AS197343,3
AS1756,3
AS59962,2
AS57240,2
AS50530,2
AS48431,2
AS48309,2
AS43212,2
AS42960,2
AS39650,2
AS35043,2
AS29068,2
AS201540,2
AS61248,1
AS60627,1
AS59691,1
AS59441,1
AS57563,1
AS57457,1
AS57235,1
AS56466,1
AS5627,1
AS55933,1
AS51541,1
AS50591,1
AS50558,1
AS50064,1
AS49689,1
AS48555,1
AS48289,1
AS47990,1
AS47262,1
AS44889,1
AS44208,1
AS41620,1
AS39466,1
AS34918,1
AS24631,1
AS198357,1
