as_num,uniq_urls_seen
AS25513,17
AS42610,10
AS25159,8
AS31213,7
AS12958,6
AS34533,6
AS0,6
AS8359,6
AS8402,5
AS31195,5
AS31133,4
AS35807,4
AS28884,4
AS12389,4
AS5563,4
AS12714,4
AS31208,4
AS16345,4
AS48092,3
AS44206,3
AS39289,3
AS8334,3
AS41733,3
AS31163,3
AS48190,3
AS29497,3
AS51604,3
AS31224,3
AS15378,3
AS15582,2
AS47939,2
AS41661,2
AS52060,2
AS201776,2
AS28745,2
AS51570,2
AS48720,2
AS29124,2
AS44640,2
AS50542,2
AS44724,2
AS25490,2
AS28890,2
AS8997,2
AS31499,2
AS20807,2
AS3216,2
AS3239,2
AS21191,2
AS24955,2
AS16285,2
AS41682,2
AS56377,2
AS42322,2
AS47395,2
AS42668,2
AS48642,2
AS42437,2
AS57378,2
AS8595,2
AS48124,2
AS31376,2
AS3253,2
AS44507,2
AS30868,2
AS39087,2
AS56330,2
AS28832,2
AS39811,2
AS41330,2
AS31214,2
AS51035,2
AS8369,2
AS8905,2
AS29226,2
AS42922,2
AS31205,2
AS47433,2
AS21367,2
AS47313,2
AS203730,2
AS24588,2
AS8492,2
AS8427,2
AS205638,1
AS21487,1
AS57026,1
AS25515,1
AS8371,1
AS48317,1
AS8615,1
AS35154,1
AS50473,1
AS6789,1
AS34757,1
AS43318,1
AS56476,1
AS31257,1
AS58042,1
AS197460,1
AS58157,1
AS35239,1
AS31724,1
AS13230,1
AS8580,1
AS44811,1
AS44775,1
AS42116,1
AS50477,1
AS5468,1
AS35032,1
AS197023,1
AS31261,1
AS28812,1
AS205515,1
AS8439,1
AS31566,1
AS8641,1
AS51645,1
AS31430,1
AS42683,1
AS42110,1
AS12688,1
AS42975,1
AS42682,1
AS49724,1
AS21479,1
AS12705,1
AS49701,1
AS6856,1
AS43404,1
AS41560,1
AS52207,1
AS15673,1
AS20485,1
AS51004,1
AS8570,1
AS35177,1
AS34892,1
AS29456,1
AS41786,1
AS200044,1
AS24783,1
AS50672,1
AS48725,1
AS12668,1
AS15774,1
AS41268,1
AS50577,1
AS41727,1
AS12494,1
AS48498,1
AS12772,1
AS5467,1
AS39927,1
AS196949,1
AS48347,1
AS31286,1
AS39028,1
AS57227,1
AS8331,1
AS56969,1
AS51077,1
AS34875,1
AS56420,1
AS44816,1
AS34267,1
AS15599,1
AS38972,1
AS49058,1
AS31200,1
AS13155,1
