url,times_tested_total,times_seen_any_ann,annotation_pct,time_seen_dns_ann,times_seen_http_ann,first_time_an_annotation_seen,last_time_an_annotation_seen,block_duration_days,num_uniq_annotations,num_asns_seen,ann_list,num_asns_seen,asn_name_list,asn_num_list
http://6rang.org/,18,16,0.888888888888889,0,16,2020-02-07,2020-07-19,164,1,7,['nat_ir_iframe_forward_ipv4'],7,"['ASIATECH', 'IRANCELL-AS', 'MCCI-AS', 'PARSONLINE Tehran - IRAN', 'PCOMTELECOM', 'RASANA', 'TCI']","['AS16322', 'AS197207', 'AS31549', 'AS43754', 'AS44244', 'AS58224', 'AS59691']"
http://aadaamaak.blogfa.com,1147,1038,0.904969485614647,10,1038,2016-06-24,2019-07-18,1120,3,13,"['dns_nat_ir_inject_2', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4']",13,"['AFRANET from AS58267 accept AS58267', 'ARIAN-AS', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'ERR: ASN Not Provided By Tester', 'GWSN-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'NAZHIN', 'PARSONLINE Tehran - IRAN', 'RASANA', 'TEBYAN']","['AS0', 'AS12880', 'AS15696', 'AS16322', 'AS197207', 'AS25184', 'AS31549', 'AS44244', 'AS48434', 'AS50810', 'AS56402', 'AS57474', 'AS61173']"
http://aadaamaak.blogfa.com/,117,38,0.324786324786325,0,38,2019-03-28,2020-07-25,486,1,11,['nat_ir_iframe_forward_ipv4'],11,"['DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'PARSONLINE Tehran - IRAN', 'PJSCFARSTELECOMMUNICATIONCOMPANY', 'RASANA', 'RIGHTEL', 'SHIRAZUNIVERSITY_ASN', 'TCI']","['AS12880', 'AS16322', 'AS197207', 'AS31549', 'AS44244', 'AS50810', 'AS56402', 'AS57218', 'AS58224', 'AS59587', 'AS59962']"
http://ablogformen2.blogspot.com,1147,977,0.85178727114211,945,909,2016-06-24,2019-07-10,1112,6,12,"['dns_nat_ir_inject_1', 'dns_nat_ir_inject_2', 'nat_ir_block_internetir', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4', 'nat_ir_iframe_forward_ipv6']",12,"['AFRANET from AS58267 accept AS58267', 'ARIAN-AS', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'GWSN-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'NAZHIN', 'PARSONLINE Tehran - IRAN', 'RASANA', 'TEBYAN']","['AS12880', 'AS15696', 'AS16322', 'AS197207', 'AS25184', 'AS31549', 'AS44244', 'AS48434', 'AS50810', 'AS56402', 'AS57474', 'AS61173']"
http://ablogformen2.blogspot.com/,129,62,0.48062015503876,52,47,2019-03-12,2020-07-27,504,3,9,"['dns_nat_ir_inject_2', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4']",9,"['DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'FANAVA-AS Fanava Group Communication Co.', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'PARSONLINE Tehran - IRAN', 'RASANA', 'TCI']","['AS12880', 'AS16322', 'AS197207', 'AS31549', 'AS41881', 'AS44244', 'AS50810', 'AS56402', 'AS58224']"
http://alone-persian-man.blogspot.com,1145,976,0.852401746724891,944,909,2016-06-24,2019-07-13,1115,6,12,"['dns_nat_ir_inject_1', 'dns_nat_ir_inject_2', 'nat_ir_block_internetir', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4', 'nat_ir_iframe_forward_ipv6']",12,"['AFRANET from AS58267 accept AS58267', 'ARIAN-AS', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'GWSN-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'NAZHIN', 'PARSONLINE Tehran - IRAN', 'RASANA', 'TEBYAN']","['AS12880', 'AS15696', 'AS16322', 'AS197207', 'AS25184', 'AS31549', 'AS44244', 'AS48434', 'AS50810', 'AS56402', 'AS57474', 'AS61173']"
http://alone-persian-man.blogspot.com/,124,60,0.483870967741936,51,41,2019-01-30,2020-07-31,549,3,11,"['dns_nat_ir_inject_2', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4']",11,"['ASIATECH', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'PARSONLINE Tehran - IRAN', 'RASANA', 'REFATEC', 'RIGHTEL', 'TCI']","['AS12880', 'AS16322', 'AS197207', 'AS31549', 'AS43754', 'AS44244', 'AS50810', 'AS56402', 'AS57218', 'AS58224', 'AS58256']"
http://amygoodloe.com/lesbian-dot-org/,1688,1299,0.769549763033175,0,1299,2017-05-14,2020-07-31,1175,1,30,['nat_ir_iframe_forward_ipv4'],30,"['AFRANET from AS58267 accept AS58267', 'ARIAN-AS', 'ASIATECH', 'ASK-AS', 'ASSABZ', 'AVAGOSTAR', 'CDN', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DATAK AS41881 - Fanava', 'DCI-AS', 'DIDEHABNNET', 'ERR: ASN Not Provided By Tester', 'FDI', 'GWSN-AS', 'IR-THR-PTE', 'IRANCELL-AS', 'MABNA', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'NAZHIN', 'PARSONLINE Tehran - IRAN', 'RASANA', 'REFATEC', 'RESPINA-AS', 'RIGHTEL', 'TCE-ASN', 'TCI', 'TEBYAN', 'TIC-AS', 'TRLCO']","['AS0', 'AS12880', 'AS15696', 'AS16322', 'AS197207', 'AS197343', 'AS201150', 'AS206065', 'AS25124', 'AS25184', 'AS31549', 'AS39308', 'AS39466', 'AS42337', 'AS43754', 'AS44244', 'AS48159', 'AS48434', 'AS49100', 'AS49689', 'AS50810', 'AS51074', 'AS56402', 'AS57218', 'AS57474', 'AS58085', 'AS58224', 'AS58256', 'AS61173', 'AS64413']"
http://aqueeerdiaries.blogspot.com,1146,978,0.853403141361257,949,911,2016-06-24,2019-07-10,1112,5,12,"['dns_nat_ir_inject_1', 'dns_nat_ir_inject_2', 'nat_ir_block_internetir', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4']",12,"['AFRANET from AS58267 accept AS58267', 'ARIAN-AS', 'DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'GWSN-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'NAZHIN', 'PARSONLINE Tehran - IRAN', 'RASANA', 'TEBYAN']","['AS12880', 'AS15696', 'AS16322', 'AS197207', 'AS25184', 'AS31549', 'AS44244', 'AS48434', 'AS50810', 'AS56402', 'AS57474', 'AS61173']"
http://aqueeerdiaries.blogspot.com/,132,68,0.515151515151515,56,49,2019-02-06,2020-07-31,542,3,11,"['dns_nat_ir_inject_2', 'nat_ir_block_peyvandha', 'nat_ir_iframe_forward_ipv4']",11,"['DADEHGOSTAR-AS AS12880 - Data Communication Company of Iran', 'DCI-AS', 'IRANCELL-AS', 'MCCI-AS', 'MOBINNET-AS AS47823 belongs to ArvanCloud CDN that is mobinnet peer', 'PARSONLINE Tehran - IRAN', 'RASANA', 'RESPINA-AS', 'RIGHTEL', 'TCI', 'TIC-AS']","['AS12880', 'AS16322', 'AS197207', 'AS31549', 'AS42337', 'AS44244', 'AS48159', 'AS50810', 'AS56402', 'AS57218', 'AS58224']"
